n_spots,max_n_spots,bulk_fluorescence,avg_spot_size,percent_area,time_to_threshold,max_spot_change,max_area_change,max_fluorescence_change,copy_number,log_copy_number
8,80,15.58562527,0.000181715,0.001453723,59.66666667,34,0.012109465,10.69992609,20,1.301029996
24,132,24.2823334,0.000447361,0.010736662,59,62,0.015326562,14.06834061,20,1.301029996
10,98,15.79512223,0.000330884,0.003308843,59.66666667,33,0.012737838,11.17639756,20,1.301029996
5,12,11.37726631,0.000838733,0.004193666,34,5,0.002678897,5.743260681,20,1.301029996
8,21,8.717405482,0.000295959,0.002367675,47.66666667,7,0.002121928,7.802344045,20,1.301029996
17,203,18.29322981,0.000153453,0.002608696,58.33333333,66,0.030783564,13.43263736,20,1.301029996
38,104,10.47272943,0.000739321,0.028094216,59.33333333,30,0.011297513,4.752852038,20,1.301029996
13,33,15.17800048,0.000199244,0.002590172,59.66666667,11,0.00385863,10.03096587,30,1.477121255
8,38,12.46928886,0.000352181,0.002817447,55,15,0.005910829,10.06028465,30,1.477121255
27,40,12.49540089,0.000355761,0.009605547,53.66666667,9,0.003808116,7.474451518,30,1.477121255
21,44,22.60719101,0.000290351,0.006097378,53.66666667,11,0.003915106,11.58698127,30,1.477121255
6,20,17.58643824,0.000344723,0.002068337,58.33333333,5,0.003479221,8.622598138,40,1.602059991
13,29,26.14402639,0.000181751,0.002362759,59,7,0.002731485,11.00572981,40,1.602059991
13,71,21.40146586,0.000415583,0.005402579,58.66666667,41,0.00668545,7.980316409,40,1.602059991
10,24,26.58994776,0.00012865,0.0012865,51.33333333,11,0.001822541,8.061727613,40,1.602059991
75,142,17.08655562,0.000303446,0.022758444,45,37,0.018606649,9.947778274,40,1.602059991
196,402,54.07811772,0.000149933,0.029386935,43,161,0.053470928,13.85908632,50,1.698970004
40,160,61.35081998,0.000423699,0.016947941,58.33333333,46,0.016113654,14.76762014,50,1.698970004
7,14,6.314192918,0.00021071,0.001474969,54,4,0.001909646,5.128166056,50,1.698970004
20,30,12.03647595,0.000208908,0.004178154,58.33333333,9,0.002757013,7.629385404,50,1.698970004
63,119,74.83258445,0.000834619,0.052580976,49.66666667,32,0.014257692,16.66949308,50,1.698970004
68,104,27.49366865,0.000393724,0.026773256,58.33333333,24,0.008744433,12.84014412,50,1.698970004
14,25,19.05236668,0.000609594,0.008534323,53.33333333,7,0.002806717,7.136763237,60,1.77815125
26,37,18.82001345,0.000410049,0.010661274,52,12,0.004224725,6.821188038,60,1.77815125
43,233,33.85890384,0.000449937,0.019347285,59.33333333,57,0.02206278,13.205142,60,1.77815125
42,240,17.61247388,0.00033374,0.014017094,59.66666667,54,0.036424501,16.8572982,60,1.77815125
20,32,15.50295644,0.000372247,0.007444934,43.66666667,10,0.004390602,8.350846794,70,1.84509804
14,30,21.40882761,0.000483531,0.006769429,59.33333333,10,0.005392099,12.062268,70,1.84509804
62,86,13.98848195,0.000390341,0.024201128,58.66666667,22,0.011684485,10.96040883,70,1.84509804
58,105,21.67020881,0.000481667,0.02793669,56.66666667,19,0.010550153,12.06172769,70,1.84509804
16,26,20.70394254,0.000290123,0.004641974,52.66666667,7,0.003415063,10.06325354,80,1.903089987
8,19,13.674182,0.000377729,0.00302183,58,4,0.002393917,8.712661271,80,1.903089987
24,32,20.24298103,0.000295023,0.007080562,58.33333333,10,0.004129096,10.98732693,80,1.903089987
14,49,24.35548322,0.000240174,0.003362442,59.33333333,12,0.005136252,12.76726054,80,1.903089987
44,131,14.86965484,0.00025608,0.011267501,59.33333333,27,0.010306898,14.58732416,80,1.903089987
